"캠페인 보고서(2026.02.01.~2026.02.28.),1738680",,,,,,,,,,,
캠페인유형,캠페인,광고그룹,키워드,PC/모바일 매체,일별,노출수,클릭수,총비용,구매완료 전환수,구매완료 전환매출액(원),평균노출순위
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.13,17,0,0,0,0,3.8
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.14,13,0,0,0,0,2.7
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.15,3,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.16,1,0,0,0,0,7
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.17,3,0,0,0,0,1.7
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.18,5,0,0,0,0,5
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.19,25,0,0,0,0,2.6
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.20,21,0,0,0,0,2.6
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.21,7,0,0,0,0,1.9
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.22,7,0,0,0,0,2.1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.23,43,2,1287,1,117000,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.24,37,1,891,0,0,2.6
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.25,21,1,1067,1,58500,1.8
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.26,27,0,0,0,0,1.7
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.27,22,1,913,0,0,1.9
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.28,12,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분,PC,2026.2.1,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분,PC,2026.2.2,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분,PC,2026.2.4,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분,PC,2026.2.6,4,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분,PC,2026.2.26,3,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분,PC,2026.2.27,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.2,1,1,1221,1,58500,1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.3,1,0,0,0,0,1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.4,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.5,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.6,4,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.9,4,0,0,0,0,1.5
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.10,8,2,2233,0,0,1.5
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.11,4,1,1111,1,58500,1.8
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.13,2,0,0,0,0,1.5
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.18,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.19,3,2,968,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.23,1,1,616,0,0,1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.25,3,0,0,0,0,1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.27,1,0,0,0,0,1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분제,PC,2026.2.28,1,0,0,0,0,1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗철분츄어블,PC,2026.2.11,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블,PC,2026.2.2,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블,PC,2026.2.3,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블,PC,2026.2.4,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블,PC,2026.2.5,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블,PC,2026.2.6,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블,PC,2026.2.19,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블,PC,2026.2.23,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블,PC,2026.2.25,2,0,0,0,0,1.5
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블,PC,2026.2.26,2,0,0,0,0,1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블철분,PC,2026.2.13,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블철분,PC,2026.2.23,2,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블철분,PC,2026.2.25,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블철분제,PC,2026.2.9,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),마이해빗츄어블철분제,PC,2026.2.26,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분마이해빗,PC,2026.2.23,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.1,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.2,4,0,0,0,0,3.3
